,importance,stddev,p_value,n,p99_high,p99_low
htn_any_mention,0.102925978560285,0.0020379831219404206,1.8435569917203438e-08,5,0.1071222139762805,0.0987297431442895
anchor_age,0.07914667553587311,0.0034075984478179537,4.11312172474264e-07,5,0.08616296783794597,0.07213038323380025
Chloride_mean,0.014642473900534015,0.0012061630966966857,5.4755597763572865e-06,5,0.01712598038757812,0.012158967413489907
htn_mention_count,0.012497320825828263,0.0018365669238193884,5.439230071367718e-05,5,0.016278837506024855,0.008715804145631669
bp_sys_mean,0.008421754126514736,0.0013053451121235221,6.709460467016976e-05,5,0.011109477754163835,0.005734030498865638
Sodium_mean,0.007421322058774482,0.0006067300484617968,5.3134630833554735e-06,5,0.008670587614457768,0.006172056503091196
Bicarbonate_mean,0.006573204438031355,0.0007789400903658225,2.3227408130936744e-05,5,0.008177052850190755,0.004969356025871955
Anion_Gap_mean,0.004489543903033843,0.0004992061897881051,1.8045398787032846e-05,5,0.005517416347570339,0.003461671458497348
Creatinine_mean,0.0034199233958772226,0.0007489962766215997,0.00025927334700774656,5,0.00496211708166978,0.0018777297100846654
weight_kg_mean,0.002579295311951335,0.0006112279760710391,0.0003516832705226057,5,0.0038378221627500177,0.0013207684611526527
Glucose_max,0.0021498852948455436,0.0005767612113713337,0.0005661567354867059,5,0.003337444600746219,0.0009623259889448683
Glucose_mean,0.0018006982227036117,0.0002992609085477686,8.826549731752722e-05,5,0.002416880569628784,0.0011845158757784397
bp_dia_mean,0.0013360075658347182,0.000622820400461806,0.004334909942829765,5,0.0026184033786783223,5.3611752991114406e-05
Urea_Nitrogen_mean,0.0012622153453244246,0.00011488217647656725,8.144722659700305e-06,5,0.0014987593345300967,0.0010256713561187525
Potassium_mean,0.0010766953351289744,0.00035512203199640784,0.0012354173877059864,5,0.0018078965073176705,0.00034549416294027825
Glucose_min,0.0006406907380340332,0.00023367151417468627,0.0017933234448132122,5,0.0011218236154032593,0.00015955786066480695
bmi,0.0005598597604727695,0.0002488540642826152,0.0036652046084593385,5,0.0010722537183593644,4.746580258617461e-05
Glucose_std,0.00041029098538882815,0.00015420847953241318,0.002002503551831177,5,0.0007278083761337584,9.277359464389786e-05
gender,0.00033606771666743195,0.00034953733109173267,0.04899630625426562,5,0.0010557699125046324,-0.0003836344791697686
height_cm_mean,0.0003040346177979325,0.00017424493773839694,0.008758532017210302,5,0.0006628073529222657,-5.473811732640074e-05
has_labs,9.281667220351064e-05,4.273449627115227e-05,0.004149836013756122,5,0.0001808075906793209,4.825753727700379e-06
has_omr,1.449458967295314e-07,0.00016370460938850413,0.4992575607338926,5,0.0003372149992658138,-0.00033692510747235476
