feature,importance_mean,importance_std
Sodium_mean,0.013067873303167388,0.0045232938372225555
Anion_Gap_mean,0.005031674208144798,0.001088383448207982
Potassium_mean,0.0047420814479637976,0.0022962898138865237
weight_kg_mean,0.004235294117647037,0.004737243222836072
height_cm_mean,0.003800904977375541,0.0015056386854722587
bmi,0.0029683257918552085,0.002616871612224835
Glucose_std,0.001737556561085951,0.0013280677884412219
gender,0.0016289592760180827,0.0019257102013784983
Glucose_min,0.0013755656108597526,0.003377590890984062
bp_sys_mean,0.0012669683257918618,0.0032639461585809797
has_omr,0.0007601809954751127,0.000836504615984903
Bicarbonate_mean,0.0003257918552036276,0.004813799155802156
subject_id,0.0,0.0
Urea_Nitrogen_mean,-7.239819004525305e-05,0.005758501246196321
bp_dia_mean,-0.00010859728506787958,0.0022594731633415206
has_labs,-0.0006877828054298596,0.00024011763188093276
Glucose_mean,-0.001773755656108611,0.0014177850517694832
Creatinine_mean,-0.0023891402714931844,0.0031211094001520126
htn_any_mention,-0.0032579185520362096,0.02233311081099866
Glucose_max,-0.0035475113122171885,0.0032043867477040003
htn_mention_count,-0.007638009049773797,0.007879770579272862
anchor_age,-0.017266968325791866,0.015790690877483454
Chloride_mean,-0.02142986425339368,0.00721951905147826
