,mean_abs_shap
htn_any_mention,0.1466038410520437
anchor_age,0.1318935733126132
Chloride_mean,0.049183607202938344
bp_sys_mean,0.03482569862789056
htn_mention_count,0.03356075134955935
Sodium_mean,0.026070703440209914
Bicarbonate_mean,0.024452572885538634
Creatinine_mean,0.01996995481719468
Anion_Gap_mean,0.013856651637398748
weight_kg_mean,0.013732347866045146
Urea_Nitrogen_mean,0.012970715042353738
Glucose_max,0.01093581413817426
Glucose_mean,0.007479872030609652
Potassium_mean,0.004457704721215843
bp_dia_mean,0.003444099752314384
bmi,0.0027889359088334644
height_cm_mean,0.0023986423212329195
Glucose_min,0.0018077005050020937
gender,0.0015220280569919204
Glucose_std,0.0014609307320199445
has_omr,0.0013885414690016893
subject_id,0.0008190258168107192
has_labs,0.000431455152148245
