,importance,stddev,p_value,n,p99_high,p99_low
anchor_age,0.1623649407596243,0.00871465419357713,9.920796049482783e-07,5,0.18030853419352083,0.14442134732572776
Glucose_max,0.02332927357497385,0.0022913261283459365,1.1024493550625777e-05,5,0.028047145742730772,0.01861140140721693
bp_sys_mean,0.019145392533132986,0.0023893316314394964,2.8514418269767775e-05,5,0.024065059386339554,0.014225725679926419
Creatinine_mean,0.0066547688135263575,0.0015439855451156515,0.0003240988013636585,5,0.009833856391067554,0.0034756812359851615
Chloride_mean,0.005058070956414284,0.0007729220783875697,6.344282446574879e-05,5,0.006649528198732697,0.0034666137140958717
Glucose_std,0.004188996822668334,0.0006129504721740323,5.347431473435554e-05,5,0.005451070316750506,0.0029269233285861623
Urea_Nitrogen_mean,0.003481744717052293,0.0006632668631209965,0.00015066756812695656,5,0.004847420355540692,0.0021160690785638936
weight_kg_mean,0.003423602479491117,0.00046939845208695424,4.1362513651091856e-05,5,0.004390100380114225,0.002457104578868009
Glucose_mean,0.002583068480842199,0.00037329503633041285,5.0915334362969024e-05,5,0.0033516881201322243,0.0018144488415521736
Glucose_min,0.00254885786366299,0.0011743302387782948,0.0041596510399379985,5,0.004966820056276278,0.0001308956710497017
Potassium_mean,0.002468095714803242,0.0007931063221044166,0.0011207549405877883,5,0.004101112593910538,0.0008350788356959469
bmi,0.002347661180745675,0.0004886564485344406,0.00021280112935892002,5,0.003353811562227955,0.0013415107992633948
bp_dia_mean,0.001758219263540073,0.0005499740011302383,0.001013029213333972,5,0.002890623333315742,0.0006258151937644039
Anion_Gap_mean,0.0013838315472295194,0.00010944940167776909,4.656807347263899e-06,5,0.0016091893780355387,0.0011584737164235
Sodium_mean,0.0010783582345535113,0.00010413063548166473,1.0305350949924426e-05,5,0.0012927646522485905,0.0008639518168584322
Bicarbonate_mean,0.0009558282383012485,0.00037010371137294464,0.002232376981450279,5,0.0017178768953950482,0.00019377958120744875
gender,0.0009088091820945055,0.0006992286361279517,0.02192042596040043,5,0.00234853060824875,-0.0005309122440597391
height_cm_mean,0.0006546122277444999,0.00012027988977467974,0.0001308325391678469,5,0.0009022701832353116,0.00040695427225368813
has_labs,0.0003339056974369425,9.990489376598185e-05,0.0008568299799411124,5,0.0005396112545334732,0.0001282001403404118
has_omr,0.00016881599166209681,0.00016251445924719748,0.040445191041333164,5,0.0005034355094406076,-0.00016580352611641398
