,mean_abs_shap
anchor_age,0.17957852633048935
Glucose_max,0.058543980193033744
bp_sys_mean,0.051957774734040875
Creatinine_mean,0.02863753640708986
Urea_Nitrogen_mean,0.02496095461931925
Chloride_mean,0.020721010521388486
Glucose_std,0.018786338916434487
weight_kg_mean,0.014476912378050804
Glucose_min,0.011983774945362173
bmi,0.009468103928544686
Glucose_mean,0.007911048065579072
bp_dia_mean,0.007510543374141168
Potassium_mean,0.006792534898477823
Anion_Gap_mean,0.004961594341329476
Sodium_mean,0.0034953392988905517
gender,0.0018337802541067108
Bicarbonate_mean,0.001723991870692722
height_cm_mean,0.001467528713985048
has_labs,0.0012791518453918417
has_omr,0.0006020581516132603
subject_id,0.0004375908883538783
