,importance
Chloride_mean,2730
TE_htn_mention_count_Creatinine_mean,2627
mean_anchor_age,2507
Creatinine_mean,2492
TE_htn_mention_count_Potassium_mean,2489
Potassium_mean,2381
mean_Potassium_mean,2336
bmi,2325
mean_Anion_Gap_mean,2269
TE_htn_mention_count_Urea_Nitrogen_mean,2249
mean_Creatinine_mean,2210
Bicarbonate_mean,2187
mean_Sodium_mean,2180
mean_Bicarbonate_mean,2175
TE_htn_mention_count_anchor_age,2166
Anion_Gap_mean,2165
mean_Chloride_mean,2164
TE_htn_mention_count_Sodium_mean,2157
TE_htn_mention_count_Chloride_mean,2077
TE_htn_mention_count_Anion_Gap_mean,2070
anchor_age,2067
weight_kg_mean,2055
Sodium_mean,2038
mean_Urea_Nitrogen_mean,2019
TE_htn_mention_count_Bicarbonate_mean,1931
TE_htn_mention_count_Glucose_mean,1908
TE_htn_mention_count_weight_kg_mean_ROUND_1s,1883
mean_Glucose_mean,1843
TE_htn_mention_count_Glucose_min,1810
bp_sys_mean,1707
TE_htn_mention_count_Glucose_max,1682
bp_dia_mean,1667
height_cm_mean,1641
mean_Glucose_max,1606
Urea_Nitrogen_mean,1594
mean_Sodium_mean_ROUND_1s,1544
TE_htn_mention_count_Glucose_mean_ROUND_1s,1534
mean_Bicarbonate_mean_ROUND_1s,1470
mean_Glucose_mean_ROUND_1s,1458
mean_height_cm_mean,1450
mean_bp_sys_mean_ROUND_1s,1431
mean_Anion_Gap_mean_ROUND_1s,1403
TE_htn_mention_count_Chloride_mean_ROUND_1s,1376
TE_htn_mention_count_bp_dia_mean_ROUND_1s,1342
TE_htn_mention_count_bp_sys_mean_ROUND_1s,1329
Glucose_max,1324
TE_htn_mention_count_Urea_Nitrogen_mean_ROUND_1s,1311
TE_htn_mention_count_Anion_Gap_mean_ROUND_1s,1304
Glucose_mean,1288
mean_Chloride_mean_ROUND_1s,1282
Glucose_std,1281
TE_htn_mention_count_height_cm_mean,1245
mean_pulse_pressure,1238
TE_htn_mention_count_Sodium_mean_ROUND_1s,1230
mean_htn_mention_count,1229
mean_bp_sys_mean,1223
TE_htn_mention_count_bp_dia_mean,1220
TE_htn_mention_count_pulse_pressure,1219
TE_htn_mention_count_Bicarbonate_mean_ROUND_1s,1206
TE_htn_mention_count_weight_kg_mean_ROUND_10s,1182
mean_Urea_Nitrogen_mean_ROUND_1s,1166
TE_htn_mention_count_bp_sys_mean,1161
weight_kg_mean_ROUND_1s,1091
mean_weight_kg_mean_ROUND_10s,1064
Glucose_min,1041
mean_bp_dia_mean,1003
TE_htn_mention_count_Glucose_mean_ROUND_10s,904
TE_htn_mention_count_weight_kg_mean,842
mean_Glucose_mean_ROUND_10s,829
mean_weight_kg_mean,813
TE_htn_mention_count_bp_dia_mean_ROUND_10s,803
mean_Glucose_std,801
TE_htn_mention_count_Glucose_std,789
TE_htn_mention_count_bp_sys_mean_ROUND_10s,769
htn_mention_count,744
TE_htn_mention_count_gender,720
Glucose_mean_ROUND_1s,690
mean_gender,658
mean_Bicarbonate_mean_ROUND_10s,651
mean_bp_sys_mean_ROUND_10s,640
pulse_pressure,600
bp_dia_mean_ROUND_1s,569
mean_htn_any_mention,543
TE_htn_mention_count_Chloride_mean_ROUND_10s,538
mean_Urea_Nitrogen_mean_ROUND_10s,538
Chloride_mean_ROUND_1s,537
TE_htn_mention_count_Urea_Nitrogen_mean_ROUND_10s,530
bp_sys_mean_ROUND_1s,515
TE_htn_mention_count_Bicarbonate_mean_ROUND_10s,513
TE_htn_mention_count_Anion_Gap_mean_ROUND_10s,467
mean_Anion_Gap_mean_ROUND_10s,461
mean_Chloride_mean_ROUND_10s,444
mean_Potassium_mean_ROUND_1s,422
TE_htn_mention_count_Potassium_mean_ROUND_1s,399
TE_htn_mention_count_bp_normal,393
Bicarbonate_mean_ROUND_1s,393
mean_Sodium_mean_ROUND_10s,318
Anion_Gap_mean_ROUND_1s,299
TE_htn_mention_count_age_lt_30,285
Sodium_mean_ROUND_1s,283
TE_htn_mention_count_Sodium_mean_ROUND_10s,276
mean_bp_normal,273
mean_age_lt_30,252
Urea_Nitrogen_mean_ROUND_1s,232
htn_any_mention,229
weight_kg_mean_ROUND_10s,214
TE_htn_mention_count_Potassium_mean_ROUND_10s,157
TE_htn_mention_count_htn_any_mention,128
Glucose_mean_ROUND_10s,78
bp_sys_mean_ROUND_10s,44
TE_htn_mention_count_bmi,34
gender,34
Anion_Gap_mean_ROUND_10s,30
Chloride_mean_ROUND_10s,28
Urea_Nitrogen_mean_ROUND_10s,27
age_lt_30,26
mean_bmi,21
Potassium_mean_ROUND_1s,11
bp_normal,10
Bicarbonate_mean_ROUND_10s,9
Potassium_mean_ROUND_10s,1
Sodium_mean_ROUND_10s,1
