,importance
39,2606
42,2502
43,2487
6,2420
41,2418
5,2400
44,2387
35,2280
40,2251
45,2215
38,2192
1,2114
46,2063
4,2060
2,2041
16,2003
13,1816
48,1798
15,1742
3,1731
8,1713
7,1698
50,1690
64,1628
14,1608
67,1600
51,1564
11,1560
12,1542
52,1519
60,1445
53,1444
70,1388
55,1374
10,1345
62,1319
57,1257
49,1236
66,1208
47,1198
9,1071
36,960
65,924
37,877
30,759
68,707
63,681
28,575
56,562
54,548
34,527
59,525
58,488
32,408
72,406
61,391
71,375
26,290
17,232
21,218
19,205
24,201
69,104
31,95
0,47
33,45
29,40
23,24
27,16
22,16
18,8
20,7
73,5
25,1
