feature,coefficient,abs_coef
num__Urea_Nitrogen_mean_ROUND_10s,-0.34566855779368166,0.34566855779368166
num__Bicarbonate_mean,-0.25636822535997245,0.25636822535997245
num__Glucose_min,-0.1736438528585118,0.1736438528585118
num__Glucose_std,-0.1706103146676277,0.1706103146676277
num__bmi,-0.15750968552906594,0.15750968552906594
num__Chloride_mean,-0.13169918384649196,0.13169918384649196
num__height_cm_mean,-0.13016943677599074,0.13016943677599074
num__Potassium_mean,-0.11049977043321338,0.11049977043321338
num__mean_Bicarbonate_mean_ROUND_10s,-0.10350045057663129,0.10350045057663129
num__Anion_Gap_mean_ROUND_10s,-0.09773175181975918,0.09773175181975918
num__Anion_Gap_mean,-0.09195021363897765,0.09195021363897765
num__bp_sys_mean_ROUND_1s,-0.08869405992268742,0.08869405992268742
num__mean_gender,-0.08809115456151818,0.08809115456151818
num__Chloride_mean_ROUND_1s,-0.07119191400771342,0.07119191400771342
num__Sodium_mean_ROUND_1s,-0.04686952210581325,0.04686952210581325
num__bp_sys_mean,-0.04622001157484281,0.04622001157484281
num__mean_Glucose_mean_ROUND_10s,-0.044673774807572744,0.044673774807572744
num__mean_Sodium_mean_ROUND_10s,-0.043311170666648524,0.043311170666648524
num__mean_bp_sys_mean,-0.03615558588155049,0.03615558588155049
num__bp_dia_mean,-0.032516366792598284,0.032516366792598284
