feature,coefficient,abs_coef
num__mean_anchor_age,0.6620308737987612,0.6620308737987612
num__anchor_age,0.460321499102795,0.460321499102795
num__mean_Urea_Nitrogen_mean_ROUND_10s,0.30450902251274103,0.30450902251274103
num__mean_Glucose_max,0.2956658420806241,0.2956658420806241
num__Bicarbonate_mean_ROUND_1s,0.23906215630129957,0.23906215630129957
num__mean_age_lt_30,0.23506472680463436,0.23506472680463436
num__bp_sys_mean_ROUND_10s,0.23402849607703854,0.23402849607703854
num__Creatinine_mean,0.21571028412490906,0.21571028412490906
num__mean_bp_sys_mean_ROUND_1s,0.19500153394056005,0.19500153394056005
num__Glucose_max,0.19448107170238074,0.19448107170238074
cat__gender_M,0.17750265851950547,0.17750265851950547
num__Anion_Gap_mean_ROUND_1s,0.1630242404063311,0.1630242404063311
num__bp_dia_mean_ROUND_1s,0.14986187108894092,0.14986187108894092
num__weight_kg_mean,0.14754691124386143,0.14754691124386143
num__Urea_Nitrogen_mean,0.13615053379095218,0.13615053379095218
num__weight_kg_mean_ROUND_10s,0.12434310767751854,0.12434310767751854
num__pulse_pressure,0.1112084168598975,0.1112084168598975
num__mean_Urea_Nitrogen_mean_ROUND_1s,0.10870111408792953,0.10870111408792953
num__mean_Sodium_mean,0.10192949267282751,0.10192949267282751
num__Sodium_mean,0.09979930001593929,0.09979930001593929
