feature,coefficient,abs_coef
num__htn_mention_count,4.763102081711673,4.763102081711673
num__anchor_age,1.2831025628132198,1.2831025628132198
bin__has_labs,0.7157851292815552,0.7157851292815552
num__bp_dia_mean,0.5160943668321832,0.5160943668321832
num__Glucose_mean,0.4329436850434835,0.4329436850434835
num__Sodium_mean,0.4181295648997545,0.4181295648997545
num__Creatinine_mean,0.34838766679994926,0.34838766679994926
cat__gender_M,0.1282107093184828,0.1282107093184828
bin__has_omr,0.0916806041166958,0.0916806041166958
num__bp_sys_mean,0.01872503947676093,0.01872503947676093
num__weight_kg_mean,0.0065734112014508815,0.0065734112014508815
num__subject_id,-0.00019319631759676353,0.00019319631759676353
num__height_cm_mean,-0.0054942838909701995,0.0054942838909701995
num__Urea_Nitrogen_mean,-0.008142056353891388,0.008142056353891388
num__Glucose_max,-0.014508247012626594,0.014508247012626594
num__Potassium_mean,-0.059916934148267806,0.059916934148267806
num__Glucose_std,-0.09923459581083671,0.09923459581083671
num__Glucose_min,-0.19361472130251003,0.19361472130251003
num__Anion_Gap_mean,-0.3176095713250859,0.3176095713250859
num__Bicarbonate_mean,-0.36782621839927393,0.36782621839927393
