feature,coefficient,abs_coef
num__mean_anchor_age,0.6620308737987612,0.6620308737987612
num__anchor_age,0.460321499102795,0.460321499102795
num__Urea_Nitrogen_mean_ROUND_10s,-0.34566855779368166,0.34566855779368166
num__mean_Urea_Nitrogen_mean_ROUND_10s,0.30450902251274103,0.30450902251274103
num__mean_Glucose_max,0.2956658420806241,0.2956658420806241
num__Bicarbonate_mean,-0.25636822535997245,0.25636822535997245
num__Bicarbonate_mean_ROUND_1s,0.23906215630129957,0.23906215630129957
num__mean_age_lt_30,0.23506472680463436,0.23506472680463436
num__bp_sys_mean_ROUND_10s,0.23402849607703854,0.23402849607703854
num__Creatinine_mean,0.21571028412490906,0.21571028412490906
num__mean_bp_sys_mean_ROUND_1s,0.19500153394056005,0.19500153394056005
num__Glucose_max,0.19448107170238074,0.19448107170238074
cat__gender_M,0.17750265851950547,0.17750265851950547
num__Glucose_min,-0.1736438528585118,0.1736438528585118
num__Glucose_std,-0.1706103146676277,0.1706103146676277
num__Anion_Gap_mean_ROUND_1s,0.1630242404063311,0.1630242404063311
num__bmi,-0.15750968552906594,0.15750968552906594
num__bp_dia_mean_ROUND_1s,0.14986187108894092,0.14986187108894092
num__weight_kg_mean,0.14754691124386143,0.14754691124386143
num__Urea_Nitrogen_mean,0.13615053379095218,0.13615053379095218
num__Chloride_mean,-0.13169918384649196,0.13169918384649196
num__height_cm_mean,-0.13016943677599074,0.13016943677599074
num__weight_kg_mean_ROUND_10s,0.12434310767751854,0.12434310767751854
num__pulse_pressure,0.1112084168598975,0.1112084168598975
num__Potassium_mean,-0.11049977043321338,0.11049977043321338
num__mean_Urea_Nitrogen_mean_ROUND_1s,0.10870111408792953,0.10870111408792953
num__mean_Bicarbonate_mean_ROUND_10s,-0.10350045057663129,0.10350045057663129
num__mean_Sodium_mean,0.10192949267282751,0.10192949267282751
num__Sodium_mean,0.09979930001593929,0.09979930001593929
num__Anion_Gap_mean_ROUND_10s,-0.09773175181975918,0.09773175181975918
num__Glucose_mean_ROUND_10s,0.0939984995450914,0.0939984995450914
num__Anion_Gap_mean,-0.09195021363897765,0.09195021363897765
num__mean_Chloride_mean,0.0915224587084594,0.0915224587084594
num__bp_sys_mean_ROUND_1s,-0.08869405992268742,0.08869405992268742
num__mean_gender,-0.08809115456151818,0.08809115456151818
num__mean_bp_normal,0.08659589607918035,0.08659589607918035
num__weight_kg_mean_ROUND_1s,0.08079603341751836,0.08079603341751836
num__mean_Potassium_mean,0.07295895925705737,0.07295895925705737
num__Chloride_mean_ROUND_1s,-0.07119191400771342,0.07119191400771342
num__mean_Bicarbonate_mean,0.07092245898856832,0.07092245898856832
num__mean_Anion_Gap_mean_ROUND_10s,0.06443953078320022,0.06443953078320022
num__mean_Chloride_mean_ROUND_1s,0.061039104479414234,0.061039104479414234
num__mean_height_cm_mean,0.059404550114113074,0.059404550114113074
num__Urea_Nitrogen_mean_ROUND_1s,0.05907790000759176,0.05907790000759176
num__mean_bp_sys_mean_ROUND_10s,0.04917469740640892,0.04917469740640892
num__mean_Creatinine_mean,0.047558695440778294,0.047558695440778294
num__Glucose_mean,0.04747290208889732,0.04747290208889732
num__Sodium_mean_ROUND_1s,-0.04686952210581325,0.04686952210581325
num__bp_sys_mean,-0.04622001157484281,0.04622001157484281
num__mean_Glucose_mean_ROUND_10s,-0.044673774807572744,0.044673774807572744
num__mean_Sodium_mean_ROUND_10s,-0.043311170666648524,0.043311170666648524
num__mean_Anion_Gap_mean_ROUND_1s,0.04170538973259071,0.04170538973259071
num__mean_Glucose_mean_ROUND_1s,0.03935857756861206,0.03935857756861206
num__Bicarbonate_mean_ROUND_10s,0.03863717803153314,0.03863717803153314
num__mean_bp_sys_mean,-0.03615558588155049,0.03615558588155049
num__bp_dia_mean,-0.032516366792598284,0.032516366792598284
num__mean_Potassium_mean_ROUND_1s,0.031902788224076765,0.031902788224076765
num__mean_weight_kg_mean_ROUND_10s,0.029231826969283545,0.029231826969283545
num__mean_Anion_Gap_mean,0.028740321675171977,0.028740321675171977
num__Chloride_mean_ROUND_10s,-0.024982038166011893,0.024982038166011893
num__mean_bp_dia_mean,0.02108945749396265,0.02108945749396265
num__mean_Glucose_std,-0.020017256537058818,0.020017256537058818
num__mean_weight_kg_mean,-0.01876974741159643,0.01876974741159643
num__Glucose_mean_ROUND_1s,0.01866659331103405,0.01866659331103405
num__Potassium_mean_ROUND_1s,-0.015943853010714635,0.015943853010714635
num__Sodium_mean_ROUND_10s,0.015393337520399338,0.015393337520399338
num__mean_Sodium_mean_ROUND_1s,-0.009880284316806778,0.009880284316806778
num__mean_Chloride_mean_ROUND_10s,0.009456274562977799,0.009456274562977799
num__mean_pulse_pressure,0.007815135081153793,0.007815135081153793
num__mean_Urea_Nitrogen_mean,-0.007463894256464399,0.007463894256464399
num__mean_bmi,-0.004988988705657826,0.004988988705657826
num__mean_Glucose_mean,0.0031566953277651637,0.0031566953277651637
bin__Potassium_mean_ROUND_10s,0.0030677532607057798,0.0030677532607057798
num__mean_Bicarbonate_mean_ROUND_1s,0.0014461262067805318,0.0014461262067805318
