feature,importance
num__htn_mention_count,0.2815246091855167
num__anchor_age,0.1873173728259012
num__Urea_Nitrogen_mean,0.07925539084408091
num__bp_sys_mean,0.06487823351624632
num__Glucose_max,0.05587066586643261
num__Creatinine_mean,0.043344852803355476
num__Glucose_std,0.03852900547577682
num__Glucose_mean,0.030918623028567155
num__Chloride_mean,0.026635901791829834
num__weight_kg_mean,0.02513670241241719
num__Bicarbonate_mean,0.021946823593256004
num__Anion_Gap_mean,0.021781314847148677
num__bp_dia_mean,0.021609712782858316
num__Potassium_mean,0.02158547507830216
num__subject_id,0.020428910003203363
num__Sodium_mean,0.01945836394031459
num__Glucose_min,0.01855121905809863
num__height_cm_mean,0.013487432814792106
cat__gender_M,0.0038992068990403523
bin__has_omr,0.0035008374958811804
bin__has_labs,0.0003393457369805539
