feature,importance_mean,importance_std
num__htn_mention_count,0.14334066463176437,0.0048904315950224495
num__anchor_age,0.06808548969154123,0.001917803596392196
num__bp_sys_mean,0.008826097963352264,0.0007717930965797241
num__Urea_Nitrogen_mean,0.0035178334746249094,0.0006284602891729577
num__weight_kg_mean,0.0031944798091605663,0.00043323394683149455
num__Creatinine_mean,0.0031202953044168202,0.0004153083373610428
num__Glucose_max,0.002492624329917703,0.00042735337853369885
num__Chloride_mean,0.0021126830385697183,0.0003019433625797177
num__Bicarbonate_mean,0.0015804141744181544,0.000285487443502363
num__bp_dia_mean,0.001487178624698171,0.00022202906162598882
num__Anion_Gap_mean,0.0014836166521409512,0.0002822377961862593
num__Potassium_mean,0.0006950767149741299,0.00013621103500895517
num__Glucose_std,0.0006911291680678722,0.00020388041188759457
num__Glucose_mean,0.0006599380393037757,0.00026822872607792133
cat__gender_M,0.0003790636506870282,6.251377336040083e-05
num__height_cm_mean,0.00033250830215019177,0.0001553626083645358
num__Glucose_min,0.0002740442144348432,0.00014775137135947315
num__Sodium_mean,0.0002189841974005291,9.88585514270639e-05
bin__has_omr,2.0237145116452915e-05,8.406744355172837e-05
bin__has_labs,6.925649734990102e-06,8.041747880451741e-06
num__subject_id,-5.6554576653689014e-05,0.00012640275339586196
