feature,importance
num__mean_anchor_age,0.1102479816170882
num__anchor_age,0.10864653105244049
num__mean_Urea_Nitrogen_mean_ROUND_1s,0.0368951286867178
num__Urea_Nitrogen_mean,0.03676418984526106
num__mean_age_lt_30,0.031293220265907896
num__mean_Urea_Nitrogen_mean,0.030864453201783756
num__mean_Glucose_max,0.028096477161580025
num__Urea_Nitrogen_mean_ROUND_1s,0.02778431455119451
num__bp_sys_mean,0.022883382692194965
num__mean_pulse_pressure,0.022593671401115005
num__mean_bp_sys_mean_ROUND_1s,0.020364793711666485
num__pulse_pressure,0.01979874530526187
num__Glucose_max,0.01822598124481459
num__mean_Creatinine_mean,0.018166329726744406
num__bp_sys_mean_ROUND_1s,0.01764560867925407
num__Glucose_std,0.017506624490465625
num__mean_Chloride_mean,0.016944233123113966
num__Creatinine_mean,0.01619462004814385
num__mean_Urea_Nitrogen_mean_ROUND_10s,0.01583705400120276
num__mean_Potassium_mean,0.01474452087299479
num__mean_Sodium_mean,0.013401176035929998
num__mean_Glucose_mean_ROUND_1s,0.01283828675002517
num__mean_Bicarbonate_mean,0.01187338284866945
num__mean_Glucose_mean,0.011504831191205291
num__mean_Anion_Gap_mean,0.011428045224644422
num__Glucose_mean,0.01142454056566003
num__mean_bp_sys_mean_ROUND_10s,0.011020458501724307
num__Potassium_mean,0.010948730599229345
num__Chloride_mean,0.010622265705345168
num__bmi,0.010513318585906106
num__Urea_Nitrogen_mean_ROUND_10s,0.010068809946981592
num__Anion_Gap_mean,0.009759043144946565
num__Glucose_min,0.009325142527914223
num__weight_kg_mean,0.009312053083986221
num__Bicarbonate_mean,0.009256718064921479
num__Glucose_mean_ROUND_1s,0.00915184484565977
num__mean_Chloride_mean_ROUND_1s,0.008975670318987394
num__Sodium_mean,0.008882002442983343
num__bp_dia_mean,0.008697793427451112
num__mean_Glucose_mean_ROUND_10s,0.008262200570466286
num__mean_Glucose_std,0.008228301547156813
num__mean_Sodium_mean_ROUND_1s,0.00815115145700725
num__mean_Anion_Gap_mean_ROUND_1s,0.008126285610578739
num__mean_Bicarbonate_mean_ROUND_1s,0.008014036390316146
num__weight_kg_mean_ROUND_1s,0.00778096345378399
num__mean_height_cm_mean,0.007699338388073718
num__bp_sys_mean_ROUND_10s,0.007475809646701284
num__mean_weight_kg_mean_ROUND_10s,0.007403409890070494
num__mean_bp_sys_mean,0.006897382522593192
num__height_cm_mean,0.0066734556391068655
num__bp_dia_mean_ROUND_1s,0.006619938229822669
num__mean_bp_dia_mean,0.00607107902343144
num__mean_gender,0.005899241747832797
num__Chloride_mean_ROUND_1s,0.005637700411259316
num__mean_weight_kg_mean,0.005307020847810215
num__mean_bp_normal,0.005118487422336379
num__mean_Bicarbonate_mean_ROUND_10s,0.004973660832557911
num__Bicarbonate_mean_ROUND_1s,0.004699793098848801
num__mean_Anion_Gap_mean_ROUND_10s,0.004441887715171465
num__mean_Potassium_mean_ROUND_1s,0.004394891000578399
num__mean_Chloride_mean_ROUND_10s,0.004391534898498321
num__Anion_Gap_mean_ROUND_1s,0.004390128790544468
num__Sodium_mean_ROUND_1s,0.004293887736968767
num__Glucose_mean_ROUND_10s,0.003776885387989641
num__weight_kg_mean_ROUND_10s,0.0035913239640192446
num__mean_Sodium_mean_ROUND_10s,0.0033755207164395456
num__mean_bmi,0.002980402306172398
cat__gender_M,0.0015882285714695489
num__Bicarbonate_mean_ROUND_10s,0.0009877288985154582
num__Chloride_mean_ROUND_10s,0.0007757108472729157
num__Anion_Gap_mean_ROUND_10s,0.0006200335558526927
num__Potassium_mean_ROUND_1s,0.0005556167153014554
num__Sodium_mean_ROUND_10s,0.0002079517084319457
bin__Potassium_mean_ROUND_10s,8.70349659024118e-05
