feature,importance_mean,importance_std
num__mean_anchor_age,0.01826132261108602,0.0013170801312133535
num__anchor_age,0.01772391275561471,0.00131075531749686
num__mean_age_lt_30,0.002264793955310529,0.0006492800555222622
num__Creatinine_mean,0.001676892220806181,0.0005953872941319721
num__bp_sys_mean,0.0011663256842971647,0.00042571720808372326
num__mean_Chloride_mean,0.0011505685459022087,0.00014856314417923677
num__Glucose_max,0.00106891124306161,0.00044906499543492475
num__bmi,0.0009139691089582458,0.00028116940161681387
num__mean_Sodium_mean,0.0008332371845551578,0.0001490765852252456
num__mean_bp_sys_mean_ROUND_1s,0.0007332228705665189,0.000251024070914601
num__mean_Glucose_max,0.0007231501997165379,0.0004866542890758953
num__Potassium_mean,0.0006659126056446252,0.00010567959114253265
num__weight_kg_mean,0.0006337520328030366,0.00018044455012123528
num__Anion_Gap_mean,0.0004743335641148816,0.00015119378961561187
num__mean_Anion_Gap_mean,0.0004649035171798932,0.000169560636404252
num__Chloride_mean,0.00046165734837514403,0.0001691729305469775
num__Glucose_std,0.00046093026531698336,0.00028947506205919505
num__weight_kg_mean_ROUND_1s,0.00041958200655971555,0.00014189200708595808
num__bp_sys_mean_ROUND_1s,0.0003739483643238839,0.00031205303051829223
num__bp_dia_mean,0.0002944723106574787,0.0001234177591253707
num__weight_kg_mean_ROUND_10s,0.00025708995948978684,6.705281405413371e-05
num__mean_Glucose_std,0.00024673453411713233,0.00019473768245552674
num__mean_bp_dia_mean,0.00022346053198536443,4.5759431987995424e-05
num__Glucose_min,0.00020838273887192617,0.00015443120573023088
num__mean_weight_kg_mean_ROUND_10s,0.00020477670067480246,9.805900248154728e-05
num__mean_gender,0.00018798401974258195,9.615482480729068e-05
num__bp_dia_mean_ROUND_1s,0.0001775661680468499,9.866142608105193e-05
num__mean_Creatinine_mean,0.00017664813388258428,0.0002558343697937389
num__Chloride_mean_ROUND_1s,0.00017421350727901962,0.00010917850301205764
num__mean_bmi,0.00015624207047990613,4.2894535583805305e-05
num__mean_Chloride_mean_ROUND_1s,0.00015541583973206486,7.900013122328506e-05
num__mean_Potassium_mean,0.00015115983334670346,0.0002475543037897323
num__height_cm_mean,0.00015038501251206647,0.00010455743134105515
num__mean_Bicarbonate_mean,0.0001486076983701068,0.00012450147145449245
num__mean_bp_sys_mean_ROUND_10s,0.00012148529702190602,0.00014866422195606262
num__mean_Glucose_mean,0.00010423359900753048,0.00010183293161946977
num__Anion_Gap_mean_ROUND_1s,0.00010244894059222576,6.785065926851979e-05
num__mean_bp_sys_mean,0.0001021625139330462,8.190875519888864e-05
num__mean_weight_kg_mean,8.915580589409222e-05,6.313394557963752e-05
num__Bicarbonate_mean,8.428288055033484e-05,0.00011581207596282176
num__mean_Anion_Gap_mean_ROUND_1s,7.983225092209612e-05,6.852162920344757e-05
cat__gender_M,6.114474747487275e-05,5.392153375813847e-05
num__pulse_pressure,6.046540219335483e-05,0.00018388962458493066
num__mean_Glucose_mean_ROUND_1s,5.913241658688229e-05,0.0002025825173073573
num__mean_bp_normal,4.780387500017413e-05,0.0001213157033171938
num__mean_height_cm_mean,4.280609701009519e-05,7.266795498419943e-05
num__mean_Bicarbonate_mean_ROUND_10s,3.0041749990505907e-05,4.7498145696275e-05
num__Sodium_mean,1.9480684965111906e-05,8.450216041615705e-05
num__Anion_Gap_mean_ROUND_10s,1.7361862114084747e-05,1.420835802400114e-05
num__mean_Chloride_mean_ROUND_10s,1.730310792752432e-05,3.5216938494947544e-05
num__bp_sys_mean_ROUND_10s,1.486480918732047e-05,0.00016817189900350784
num__mean_Potassium_mean_ROUND_1s,1.0494966565566254e-05,3.3790556963131065e-05
num__Potassium_mean_ROUND_1s,9.000406946180206e-06,1.7235121272764163e-05
num__Bicarbonate_mean_ROUND_1s,3.7712843466986e-06,4.1280951205394715e-05
num__mean_pulse_pressure,1.8360683273765942e-08,0.0002015450524824896
num__mean_Bicarbonate_mean_ROUND_1s,-6.389517782978693e-07,9.095012115280123e-05
num__Sodium_mean_ROUND_10s,-8.075028508591765e-06,5.443153306004733e-06
num__Urea_Nitrogen_mean,-1.76996986865241e-05,0.0002639909411888593
bin__Potassium_mean_ROUND_10s,-1.7850256289431155e-05,8.566024435366935e-06
num__Sodium_mean_ROUND_1s,-1.905471711288742e-05,6.218912437229309e-05
num__mean_Sodium_mean_ROUND_10s,-1.9664291797949485e-05,2.58583470312579e-05
num__mean_Glucose_mean_ROUND_10s,-2.0688817925229586e-05,0.00011992336384157503
num__mean_Sodium_mean_ROUND_1s,-2.302062470238564e-05,7.185948003616654e-05
num__mean_Anion_Gap_mean_ROUND_10s,-2.9009879589914078e-05,4.473993022925239e-05
num__Chloride_mean_ROUND_10s,-3.307126273246475e-05,2.4920934252073722e-05
num__Bicarbonate_mean_ROUND_10s,-3.4066411766475736e-05,1.3968897136269278e-05
num__Glucose_mean,-4.925804111634013e-05,0.00019856538072771706
num__Glucose_mean_ROUND_10s,-0.00012047178730455466,6.73726944474325e-05
num__Glucose_mean_ROUND_1s,-0.0001372461075534459,0.00015927972753221196
num__Urea_Nitrogen_mean_ROUND_1s,-0.0001381788302643572,0.00019282766267938867
num__mean_Urea_Nitrogen_mean,-0.0002497236533558711,0.00013448014040284874
num__mean_Urea_Nitrogen_mean_ROUND_1s,-0.0003509681331246406,0.00016077825271947717
num__mean_Urea_Nitrogen_mean_ROUND_10s,-0.00036794074875304836,0.00017031121108594463
num__Urea_Nitrogen_mean_ROUND_10s,-0.0003731955763091599,0.00012835189840407533
