,importance
17,0.26442146
54,0.161148
55,0.052880667
1,0.05224003
39,0.035536528
93,0.027632592
116,0.017163325
34,0.015769871
77,0.015457446
33,0.014352766
15,0.010568394
74,0.010452281
8,0.009647102
27,0.009318
28,0.008245799
70,0.0076056053
5,0.0058383043
11,0.005785538
71,0.005416596
13,0.004795305
32,0.0046460563
31,0.004413133
4,0.0044051455
22,0.0042897
16,0.004229344
0,0.0041808267
111,0.004120539
104,0.0039600083
36,0.0038970984
18,0.0038769322
35,0.0038315533
110,0.0037908065
37,0.0037204383
29,0.00366617
86,0.0035800126
20,0.0034989354
26,0.0033850344
30,0.0033554793
67,0.0032898658
3,0.0031876366
66,0.0031406693
2,0.0030836489
9,0.0029548616
72,0.002937903
19,0.002920748
59,0.002858955
43,0.0028233847
73,0.0027919356
24,0.002771475
52,0.0027546778
99,0.0027291542
56,0.002713493
45,0.0026722073
91,0.0026617195
107,0.0026556992
68,0.0026300696
6,0.002628186
38,0.0026235913
58,0.0026158516
76,0.0026075514
98,0.0026053714
81,0.002591567
69,0.0025885073
49,0.0025627937
60,0.0025391493
117,0.0025334358
65,0.0025233899
105,0.0025216332
25,0.0025004053
75,0.0024880331
115,0.0024827584
84,0.002481132
7,0.0024713823
63,0.0024424705
85,0.0024399988
80,0.0024297556
50,0.0024267018
96,0.002421341
53,0.0024087455
51,0.002406173
48,0.0023905977
89,0.0023817758
92,0.0023809678
87,0.0023613442
44,0.002338189
41,0.0023000343
12,0.0022892326
40,0.0022825573
14,0.0022590456
42,0.0022569583
106,0.0022554707
118,0.0022409335
94,0.0022382818
46,0.0022380915
10,0.0022372038
82,0.002213834
23,0.0022062443
61,0.002196045
113,0.0021885915
78,0.0021846795
114,0.0021827877
47,0.0021674663
21,0.0021621014
83,0.002096784
62,0.0020948937
57,0.0020919815
102,0.002081535
108,0.0020318178
79,0.0020292841
88,0.002028851
90,0.0020222315
95,0.0019800283
109,0.0019349295
97,0.0018918532
100,0.0018778146
112,0.0018060553
64,0.001779619
101,0.0016930996
103,0.0015659436
