,importance
1,0.1121044
38,0.097820096
33,0.06167151
32,0.026769051
71,0.025944656
27,0.024172952
8,0.022955796
15,0.02268975
11,0.021493195
67,0.01813894
26,0.017557986
47,0.016516581
25,0.01497402
36,0.013827501
73,0.012835806
62,0.012472244
5,0.0119135855
68,0.011800018
70,0.010894797
35,0.01061549
31,0.010071655
16,0.010028583
30,0.009696551
34,0.009485703
21,0.0092239585
4,0.009218143
23,0.009172001
42,0.0090786815
13,0.009043227
22,0.008816243
48,0.008793753
28,0.0087585505
69,0.008664984
17,0.008644192
45,0.008521373
51,0.0084701935
41,0.008368642
44,0.00825038
2,0.008228267
29,0.008225957
49,0.008217674
65,0.008099685
6,0.008017777
12,0.007980266
9,0.007935747
64,0.007924006
66,0.007922194
43,0.007913458
10,0.007868624
59,0.007850967
46,0.007823869
19,0.0076974574
3,0.0076513807
24,0.0076433527
14,0.007612544
40,0.007598086
52,0.0075842375
63,0.0075511956
39,0.007508906
50,0.0074733244
56,0.007463831
7,0.0074311574
0,0.0074138376
57,0.0073621566
60,0.007353078
58,0.007331578
53,0.007326532
54,0.0072983177
37,0.0071845483
72,0.0070907036
55,0.007044129
61,0.006925858
18,0.0063832207
20,0.0045868563
