,mean_abs_shap
anchor_age,0.15269950758568787
htn_mention_count,0.14978838551818477
Chloride_mean,0.051103626934090124
bp_sys_mean,0.0363312754976963
Glucose_max,0.023935861338583272
Sodium_mean,0.021724044558747848
Bicarbonate_mean,0.01992901620343861
Creatinine_mean,0.019805202314478007
Urea_Nitrogen_mean,0.01514712585710415
weight_kg_mean,0.011970744119211636
Anion_Gap_mean,0.011706896150934272
Potassium_mean,0.009587033867314687
Glucose_mean,0.00899044737961636
bp_dia_mean,0.006954568743214718
bmi,0.006839978791785353
Glucose_min,0.006012428501783894
Glucose_std,0.0057051552501682255
height_cm_mean,0.0036806106656118087
gender,0.002324165875279879
has_omr,0.0010504099058151724
htn_any_mention,0.0007908032620705807
has_labs,0.0006199400000555523
