feature,importance,importance_norm
anchor_age,0.3959746,1.0
Urea_Nitrogen_mean,0.15613268,0.39429975
bp_sys_mean,0.08705581,0.219852
Glucose_max,0.07499331,0.1893892
Creatinine_mean,0.045811985,0.11569425
bmi_mean,0.03118017,0.078742854
weight_kg_mean,0.026194794,0.066152714
bp_dia_mean,0.024201673,0.061119255
Chloride_mean,0.023632994,0.059683103
Glucose_min,0.018715104,0.047263395
gender,0.013679286,0.03454587
Anion_Gap_mean,0.013315754,0.033627797
Glucose_std,0.013060856,0.032984074
Potassium_mean,0.012937454,0.03267243
Bicarbonate_mean,0.011127203,0.0281008
has_labs,0.011068673,0.027952986
height_cm_mean,0.010816362,0.027315797
Glucose_mean,0.010482934,0.026473753
has_omr,0.010341175,0.026115753
Sodium_mean,0.009277088,0.023428492
