,mean_abs_shap
anchor_age,0.19191166703470722
Glucose_max,0.06352409641955283
bp_sys_mean,0.05107620444992006
Urea_Nitrogen_mean,0.028576223893583375
Creatinine_mean,0.02793089527720375
Chloride_mean,0.024561733808846034
Glucose_std,0.022582766390453885
Glucose_min,0.017796292919405564
bmi,0.015536154433299188
weight_kg_mean,0.010901062038876886
Potassium_mean,0.007921139713495399
bp_dia_mean,0.007612684083956284
Anion_Gap_mean,0.005586906767859838
height_cm_mean,0.0025146957610208604
Glucose_mean,0.0022965186225099433
Sodium_mean,0.0018398738526384827
Bicarbonate_mean,0.0013831477317261494
has_labs,0.0009491575801826343
has_omr,0.0003897554607244019
gender,0.0003695672079422703
