,mean_abs_contrib
anchor_age,0.9334382505771355
htn_mention_count,0.7942111700415553
htn_any_mention,0.49010016189515593
bp_sys_mean,0.2085228680165419
Urea_Nitrogen_mean,0.17941502761990705
Chloride_mean,0.16508234925257784
weight_kg_mean,0.11268132861717546
Creatinine_mean,0.10926823176188188
Glucose_max,0.097430101329086
bp_dia_mean,0.08942201213183396
Bicarbonate_mean,0.0733889226109504
Glucose_mean,0.05997152073733009
Sodium_mean,0.055082285291016844
Anion_Gap_mean,0.049917114106035984
height_cm_mean,0.03318233869215687
Potassium_mean,0.03293629662122653
bmi,0.028197679570944684
Glucose_min,0.028139362030742583
gender,0.024648712768897848
Glucose_std,0.023337748124948078
BiasTerm,0.010794598609209003
has_omr,0.005515767704486232
has_labs,0.0
