,mean_abs_contrib
anchor_age,1.0117420570218236
Glucose_max,0.3269095371091826
bp_sys_mean,0.2584387399696079
Urea_Nitrogen_mean,0.20682302420193446
Creatinine_mean,0.1917334346729549
weight_kg_mean,0.12722494966708472
bp_dia_mean,0.11921169180412104
Chloride_mean,0.11541259671153964
Glucose_min,0.08893971514719302
Glucose_std,0.07847673354714786
Anion_Gap_mean,0.06489449007752043
Potassium_mean,0.05571483028060534
height_cm_mean,0.04005899888972631
Glucose_mean,0.035256474120742454
bmi,0.027105516529649275
Bicarbonate_mean,0.026722181522969502
gender,0.020935561071699298
Sodium_mean,0.016466234515401038
has_omr,0.0004884478457315681
has_labs,0.0
