model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_5_AutoML_1_20251021_194602,0.8803193408574034,0.4287634162703007,0.8670694275730434,0.206626191067226,0.3734784833873188,0.1394861775532918
StackedEnsemble_AllModels_3_AutoML_1_20251021_194602,0.880306120268032,0.4286941581054734,0.8670376282407806,0.2081662726716811,0.373540269688788,0.1395323330791724
StackedEnsemble_Best1000_1_AutoML_1_20251021_194602,0.8802371436791803,0.4288156475566211,0.8668968420530843,0.2078914657368137,0.3735767476125349,0.1395595863567595
StackedEnsemble_AllModels_2_AutoML_1_20251021_194602,0.8796836256041465,0.4294366657578986,0.8660581252947528,0.2093580376510266,0.3739195780060086,0.1398158508161916
StackedEnsemble_AllModels_1_AutoML_1_20251021_194602,0.8795961424854161,0.429683061608051,0.8657592118278687,0.208911296492337,0.3739689418730885,0.1398527694856774
StackedEnsemble_BestOfFamily_4_AutoML_1_20251021_194602,0.879360359241606,0.429943619856672,0.8657227260522151,0.2091528155439316,0.3742856714217867,0.1400897638316577
StackedEnsemble_BestOfFamily_6_AutoML_1_20251021_194602,0.8793485754732324,0.4300326743824272,0.8657718645006522,0.2078867559018501,0.3742519684258443,0.1400645358706191
GBM_grid_1_AutoML_1_20251021_194602_model_14,0.8787637021080248,0.4314813476153217,0.864645254195554,0.2079492759771773,0.3747492298549272,0.140436985276861
StackedEnsemble_BestOfFamily_3_AutoML_1_20251021_194602,0.878678931964405,0.4308165201445333,0.8644023335320833,0.208534532647667,0.3745586486995772,0.1402941813156532
StackedEnsemble_BestOfFamily_2_AutoML_1_20251021_194602,0.8785477153196535,0.4311721872666639,0.8639863551103676,0.2051782542163994,0.3746209350331347,0.1403408449651002
StackedEnsemble_AllModels_4_AutoML_1_20251021_194602,0.8785081568373941,0.4307429379632131,0.8645636090413001,0.205871093432898,0.3745836823782378,0.1403129351040405
GBM_grid_1_AutoML_1_20251021_194602_model_15,0.8783843652979579,0.4323899478163789,0.8643670872432538,0.2088636174466756,0.3750094797105133,0.1406321098727498
GBM_grid_1_AutoML_1_20251021_194602_model_16,0.8783645183472125,0.4326626405978054,0.864429455527967,0.2062718563196629,0.3749174963539535,0.1405631290723167
StackedEnsemble_BestOfFamily_1_AutoML_1_20251021_194602,0.8781814384320733,0.432184123188201,0.8624392299295539,0.2068926249621584,0.3749195788721902,0.1405646906217005
GBM_grid_1_AutoML_1_20251021_194602_model_50,0.8780135048136808,0.4331483302356521,0.8646491003147561,0.2063089382366565,0.3753009651174406,0.1408508144180824
GBM_grid_1_AutoML_1_20251021_194602_model_19,0.8778921209822744,0.4330016197145402,0.8638834795875724,0.2118393379995525,0.3754134815559316,0.1409352821339458
GBM_grid_1_AutoML_1_20251021_194602_model_21,0.877798612855367,0.4343922186435229,0.8637452461703168,0.2112478015491115,0.3756448218373485,0.1411090321732132
GBM_grid_1_AutoML_1_20251021_194602_model_43,0.8776742750485228,0.4331999248976435,0.8637541114241194,0.2125999304413379,0.3755055732182929,0.1410044355179987
GBM_grid_1_AutoML_1_20251021_194602_model_6,0.8775467032468134,0.4329628122464952,0.8627678490070178,0.2143732888862015,0.3754763461614739,0.1409824865267709
GBM_1_AutoML_1_20251021_194602,0.8774753510833089,0.4330834040739044,0.8625738342452832,0.2105469243978944,0.3754235089840546,0.1409428110979005
GBM_2_AutoML_1_20251021_194602,0.8774030831185615,0.4332959980290314,0.8627963420167736,0.2112944339647811,0.3756769512331062,0.1411331716878016
GBM_grid_1_AutoML_1_20251021_194602_model_13,0.8771722897291426,0.4342868363930214,0.8623612018396085,0.2078423475749133,0.3758552864396261,0.1412671963446134
GBM_grid_1_AutoML_1_20251021_194602_model_12,0.877144090395633,0.4337612707808386,0.8624277859055036,0.207877859546919,0.3759229835042211,0.1413180895267149
GBM_grid_1_AutoML_1_20251021_194602_model_7,0.8771304337104316,0.4343316942755638,0.8621832807857316,0.2109221182975766,0.3758443675288343,0.1412589886031494
GBM_grid_1_AutoML_1_20251021_194602_model_18,0.8769595277546718,0.4341261715538387,0.8631692213109483,0.209031888465526,0.3759772182540425,0.1413588686460479
StackedEnsemble_BestOfFamily_5_AutoML_1_20251021_194602,0.8769154820758462,0.4334001380579155,0.8621941249247271,0.2158635981850113,0.3759413745178229,0.14133191707435
GBM_5_AutoML_1_20251021_194602,0.8768534922012385,0.4344773773142419,0.8626872316600497,0.213031626293894,0.3761663976953616,0.1415011587551049
GBM_grid_1_AutoML_1_20251021_194602_model_47,0.8764758332124966,0.4347751188460257,0.8619981721937103,0.2112070564271464,0.3765475043772633,0.1417880230527451
GBM_grid_1_AutoML_1_20251021_194602_model_20,0.87636558130096,0.4366206746876954,0.8629065255932427,0.211457602662421,0.3767401463314845,0.1419331378578683
GBM_3_AutoML_1_20251021_194602,0.8763351555834763,0.4352963710642758,0.8618514098176275,0.2141925891361973,0.376704111317965,0.1419059874838578
GBM_grid_1_AutoML_1_20251021_194602_model_1,0.875491069152184,0.4370542048856548,0.8617207829793744,0.2136750856909944,0.3774101967608054,0.1424384566190298
GBM_grid_1_AutoML_1_20251021_194602_model_49,0.8753822517664039,0.4368930434980043,0.8610156841544306,0.2102551097256586,0.3774702345505849,0.1424837779716735
GBM_grid_1_AutoML_1_20251021_194602_model_52,0.8749054957384073,0.4414722603799236,0.8595338653371135,0.211048074249474,0.3779132449729885,0.142818420726014
GBM_grid_1_AutoML_1_20251021_194602_model_5,0.8748515185508647,0.4378642708502672,0.8594217662566994,0.2160250661089144,0.3777394239191542,0.1426870723827744
GBM_grid_1_AutoML_1_20251021_194602_model_48,0.8740255392774805,0.4385855304612108,0.8578948211690759,0.2120330471767367,0.3782080550653827,0.1430413329163395
GBM_4_AutoML_1_20251021_194602,0.8736087900356858,0.4397338796019439,0.8578709531331931,0.2151317146202844,0.3787061360011895,0.1434183374449514
GBM_grid_1_AutoML_1_20251021_194602_model_44,0.8735052930190312,0.439734475688876,0.8576012365417558,0.2125672232540912,0.3787333390272154,0.1434389420907037
GBM_grid_1_AutoML_1_20251021_194602_model_51,0.8731499621367829,0.4409885579882384,0.8565101069870924,0.2133531230254614,0.3790246254956386,0.1436596667321091
GBM_grid_1_AutoML_1_20251021_194602_model_17,0.872544151581255,0.4418773826628664,0.8559681916885836,0.2185738580252292,0.3795248078601694,0.1440390797812984
GBM_grid_1_AutoML_1_20251021_194602_model_2,0.872321781727078,0.4430457464350792,0.8550629753915705,0.215632471985617,0.3800817176892671,0.1444621121216237
GBM_grid_1_AutoML_1_20251021_194602_model_10,0.8722525044616275,0.4423654523695516,0.8561177436376378,0.21269945898594,0.3798530229563559,0.1442883190490818
GBM_grid_1_AutoML_1_20251021_194602_model_8,0.8712012656253825,0.4454619093363959,0.8545155853231208,0.2181917302018506,0.3813199210802158,0.1454048822126219
GBM_grid_1_AutoML_1_20251021_194602_model_46,0.8706746707297455,0.4460106589827373,0.8530174573476431,0.2197976026003577,0.3815021012944878,0.1455438532921096
GBM_grid_1_AutoML_1_20251021_194602_model_9,0.8705738316024124,0.4469516958204059,0.8540127612086768,0.2169188674648218,0.3819438758382536,0.1458811242903473
DRF_1_AutoML_1_20251021_194602,0.8705069482735444,0.4458093652536094,0.8537409005631265,0.2136103989079646,0.3810513509712291,0.1452001320769988
GBM_grid_1_AutoML_1_20251021_194602_model_4,0.8704320981624354,0.4466826182756919,0.8520177935017943,0.2182593525983884,0.3815130942737915,0.1455522411023629
XRT_1_AutoML_1_20251021_194602,0.8703552397152674,0.4485034880599206,0.8539217562603576,0.2145405706560902,0.3818837182674134,0.1458351742777452
GBM_grid_1_AutoML_1_20251021_194602_model_11,0.8688167854368304,0.4499725040341187,0.8501905900010552,0.2182568668521576,0.383220037301899,0.1468575969896688
GBM_grid_1_AutoML_1_20251021_194602_model_45,0.8633642471415112,0.4696364911847871,0.8441421897362622,0.2185518053476806,0.3904485903007596,0.1524501016678504
GBM_grid_1_AutoML_1_20251021_194602_model_3,0.8623236237958637,0.4666731546786882,0.8459500037775335,0.2298196585830536,0.3903142573575394,0.1523452194965674
GLM_1_AutoML_1_20251021_194602,0.8616731753892779,0.4630172575818148,0.8347814115009276,0.2231112308594556,0.3869663294091326,0.1497429400963773
